temperatura;int_arraial;dir_arraial;u_arraial;v_arraial;EkT_arraial;EkB_arraial;int_copa;dir_copa;u_copa;v_copa;EkT_copa;EkB_copa;elevacao
18.76;1.81;15.925;1.74;0.5;-0.05;-1.13;2.3;6.871;2.28;0.27;-0.06;-2.11;-0.07
18.77;1.76;16.819;1.69;0.51;-0.05;-1.26;2.23;83.302;2.2;0.32;-0.06;-2.17;-0.07
18.79;1.7;17.742;1.62;0.52;-0.05;-1.38;2.16;98.644;2.13;0.37;-0.06;-2.23;-0.06
18.8;1.63;18.711;1.55;0.52;-0.04;-1.5;2.08;11.488;2.04;0.41;-0.06;-2.29;-0.05
18.82;1.55;19.743;1.46;0.52;-0.04;-1.61;2;13.218;1.95;0.46;-0.05;-2.34;-0.05
18.84;1.46;20.865;1.36;0.52;-0.04;-1.72;1.92;15.074;1.86;0.5;-0.05;-2.39;-0.04
18.86;1.35;22.115;1.25;0.51;-0.04;-1.82;1.84;17.079;1.76;0.54;-0.05;-2.43;-0.04
18.88;1.23;23.551;1.13;0.49;-0.03;-1.91;1.75;19.263;1.66;0.58;-0.05;-2.47;-0.04
18.91;1.1;25.265;1;0.47;-0.03;-1.99;1.67;21.66;1.55;0.61;-0.05;-2.5;-0.03
18.93;0.96;27.415;0.85;0.44;-0.03;-2.07;1.58;24.309;1.44;0.65;-0.04;-2.53;-0.03
18.96;0.81;30.3;0.7;0.41;-0.02;-2.14;1.49;27.26;1.32;0.68;-0.04;-2.55;-0.03
18.98;0.65;34.545;0.54;0.37;-0.02;-2.2;1.4;30.572;1.2;0.71;-0.04;-2.56;-0.03
19.01;0.49;41.698;0.36;0.32;-0.01;-2.25;1.31;34.313;1.08;0.74;-0.04;-2.57;-0.02
19.04;0.32;56.482;0.18;0.27;-0.01;-2.29;1.23;38.561;0.96;0.77;-0.03;-2.57;-0.02
19.07;0.21;93.807;-0.01;0.21;-0.01;-2.33;1.15;43.4;0.83;0.79;-0.03;-2.57;-0.02
19.1;0.26;146.19;-0.22;0.14;-0.01;-2.35;1.08;48.913;0.71;0.81;-0.03;-2.56;-0.02
19.13;0.43;170.45;-0.42;0.07;-0.01;-2.37;1.01;55.167;0.58;0.83;-0.03;-2.54;-0.02
19.16;0.64;180.69;-0.64;-0.01;-0.02;-2.38;0.96;62.183;0.45;0.85;-0.03;-2.52;-0.02
19.19;0.87;186.16;-0.87;-0.09;-0.02;-2.38;0.92;69.91;0.32;0.86;-0.03;-2.49;-0.03
19.22;1.11;189.61;-1.1;-0.19;-0.03;-2.38;0.89;78.193;0.18;0.87;-0.02;-2.45;-0.03
19.25;1.36;192.02;-1.33;-0.28;-0.04;-2.36;0.88;86.77;0.05;0.88;-0.02;-2.41;-0.03
19.28;1.62;193.85;-1.57;-0.39;-0.04;-2.34;0.89;95.317;-0.08;0.89;-0.02;-2.37;-0.03
19.3;1.89;195.31;-1.82;-0.5;-0.05;-2.31;0.92;103.51;-0.22;0.9;-0.03;-2.31;-0.03
19.33;2.16;196.53;-2.07;-0.61;-0.06;-2.27;0.96;111.12;-0.35;0.9;-0.03;-2.25;-0.04
19.36;2.44;197.57;-2.32;-0.74;-0.07;-2.23;1.02;117.99;-0.48;0.9;-0.03;-2.19;-0.04
19.39;2.72;198.48;-2.58;-0.86;-0.07;-2.18;1.08;124.09;-0.61;0.9;-0.03;-2.12;-0.04
19.41;3;199.29;-2.84;-0.99;-0.08;-2.13;1.16;129.45;-0.73;0.89;-0.03;-2.05;-0.05
19.44;3.29;200.02;-3.09;-1.13;-0.09;-2.07;1.23;134.15;-0.86;0.89;-0.03;-1.97;-0.05
19.46;3.59;200.7;-3.35;-1.27;-0.1;-2;1.32;138.27;-0.98;0.88;-0.04;-1.89;-0.05
19.48;3.88;201.32;-3.61;-1.41;-0.11;-1.93;1.4;141.88;-1.1;0.87;-0.04;-1.8;-0.06
19.5;4.17;201.9;-3.87;-1.56;-0.11;-1.86;1.49;145.07;-1.22;0.85;-0.04;-1.71;-0.06
19.52;4.47;202.44;-4.13;-1.7;-0.11;-1.78;1.58;147.91;-1.34;0.84;-0.04;-1.62;-0.06
19.54;4.76;202.95;-4.38;-1.86;-0.12;-1.7;1.66;150.44;-1.45;0.82;-0.05;-1.52;-0.07
19.55;5.05;203.44;-4.63;-2.01;-0.13;-1.62;1.75;152.72;-1.55;0.8;-0.05;-1.43;-0.07
19.56;5.34;203.9;-4.88;-2.16;-0.13;-1.54;1.83;154.79;-1.66;0.78;-0.05;-1.33;-0.08
19.57;5.63;204.33;-5.13;-2.32;-0.14;-1.45;1.91;156.67;-1.76;0.76;-0.05;-1.22;-0.08
19.58;5.91;204.75;-5.37;-2.47;-0.15;-1.36;1.99;158.4;-1.85;0.73;-0.05;-1.12;-0.08
19.58;6.19;205.15;-5.6;-2.63;-0.16;-1.27;2.07;160;-1.94;0.71;-0.06;-1.02;-0.09
19.58;6.46;205.53;-5.83;-2.78;-0.16;-1.19;2.14;161.48;-2.03;0.68;-0.06;-0.91;-0.09
19.58;6.73;205.9;-6.05;-2.94;-0.17;-1.1;2.21;162.86;-2.11;0.65;-0.06;-0.81;-0.09
19.57;6.99;206.25;-6.27;-3.09;-0.18;-1.01;2.28;164.16;-2.19;0.62;-0.06;-0.7;-0.1
19.57;7.25;206.58;-6.48;-3.24;-0.18;-0.92;2.34;165.39;-2.26;0.59;-0.06;-0.6;-0.1
19.55;7.49;206.91;-6.68;-3.39;-0.19;-0.84;2.39;166.56;-2.33;0.56;-0.07;-0.49;-0.1
19.54;7.73;207.22;-6.88;-3.54;-0.19;-0.75;2.45;167.67;-2.39;0.52;-0.07;-0.39;-0.11
19.52;7.96;207.52;-7.06;-3.68;-0.2;-0.67;2.5;168.73;-2.45;0.49;-0.07;-0.29;-0.11
19.5;8.19;207.81;-7.24;-3.82;-0.21;-0.59;2.54;169.75;-2.5;0.45;-0.07;-0.19;-0.11
19.48;8.4;208.09;-7.41;-3.96;-0.21;-0.51;2.58;170.73;-2.55;0.42;-0.07;-0.1;-0.11
19.45;8.61;208.36;-7.57;-4.09;-0.22;-0.43;2.62;171.69;-2.59;0.38;-0.07;0;-0.12
19.42;8.8;208.62;-7.73;-4.22;-0.22;-0.36;2.65;172.61;-2.63;0.34;-0.07;0.08;-0.12
19.38;8.99;208.88;-7.87;-4.34;-0.23;-0.29;2.68;173.52;-2.66;0.3;-0.07;0.17;-0.12
19.35;9.17;209.12;-8.01;-4.46;-0.23;-0.22;2.7;174.4;-2.69;0.26;-0.07;0.25;-0.12
19.31;9.33;209.35;-8.13;-4.57;-0.24;-0.16;2.73;175.27;-2.72;0.22;-0.07;0.33;-0.12
19.26;9.49;209.57;-8.25;-4.68;-0.24;-0.1;2.74;176.12;-2.74;0.19;-0.07;0.4;-0.12
19.22;9.64;209.79;-8.36;-4.79;-0.24;-0.04;2.76;176.96;-2.75;0.15;-0.08;0.47;-0.12
19.17;9.77;210;-8.46;-4.89;-0.25;0.01;2.77;177.79;-2.76;0.11;-0.08;0.53;-0.12
19.11;9.9;210.2;-8.56;-4.98;-0.25;0.05;2.77;178.6;-2.77;0.07;-0.08;0.58;-0.12
19.06;10.02;210.39;-8.64;-5.07;-0.25;0.1;2.78;179.41;-2.78;0.03;-0.08;0.63;-0.12
19;10.13;210.57;-8.72;-5.15;-0.26;0.14;2.78;180.21;-2.78;-0.01;-0.08;0.68;-0.12
18.94;10.23;210.75;-8.79;-5.23;-0.26;0.17;2.78;181;-2.78;-0.05;-0.08;0.72;-0.12
18.88;10.32;210.92;-8.85;-5.3;-0.26;0.2;2.78;181.79;-2.78;-0.09;-0.08;0.75;-0.12
18.81;10.4;211.08;-8.91;-5.37;-0.26;0.23;2.77;182.56;-2.77;-0.12;-0.08;0.78;-0.12
18.75;10.47;211.23;-8.96;-5.43;-0.26;0.25;2.77;183.33;-2.76;-0.16;-0.08;0.81;-0.12
18.68;10.54;211.37;-9;-5.49;-0.27;0.27;2.76;184.09;-2.75;-0.2;-0.08;0.82;-0.12
18.61;10.6;211.51;-9.03;-5.54;-0.27;0.28;2.75;184.85;-2.74;-0.23;-0.08;0.84;-0.12
18.54;10.64;211.63;-9.06;-5.58;-0.27;0.29;2.74;185.59;-2.72;-0.27;-0.07;0.85;-0.11
18.46;10.69;211.76;-9.09;-5.62;-0.27;0.3;2.72;186.33;-2.71;-0.3;-0.07;0.85;-0.11
18.39;10.72;211.87;-9.11;-5.66;-0.27;0.3;2.71;187.05;-2.69;-0.33;-0.07;0.85;-0.11
18.31;10.75;211.97;-9.12;-5.69;-0.27;0.3;2.7;187.76;-2.67;-0.36;-0.07;0.84;-0.11
18.24;10.78;212.07;-9.13;-5.72;-0.27;0.3;2.68;188.46;-2.65;-0.39;-0.07;0.83;-0.1
18.16;10.79;212.16;-9.14;-5.74;-0.27;0.29;2.67;189.14;-2.64;-0.42;-0.07;0.82;-0.1
18.08;10.81;212.24;-9.14;-5.76;-0.27;0.28;2.65;189.81;-2.62;-0.45;-0.07;0.81;-0.1
18;10.81;212.31;-9.14;-5.78;-0.27;0.27;2.64;190.45;-2.6;-0.48;-0.07;0.79;-0.1
17.93;10.82;212.37;-9.14;-5.79;-0.27;0.26;2.62;191.08;-2.58;-0.5;-0.07;0.77;-0.09
17.85;10.82;212.43;-9.13;-5.8;-0.27;0.24;2.61;191.69;-2.56;-0.53;-0.07;0.74;-0.09
17.77;10.81;212.48;-9.12;-5.8;-0.27;0.22;2.59;192.27;-2.54;-0.55;-0.07;0.72;-0.09
17.69;10.8;212.52;-9.11;-5.81;-0.27;0.2;2.58;192.84;-2.51;-0.57;-0.07;0.69;-0.08
17.62;10.79;212.55;-9.09;-5.81;-0.27;0.18;2.56;193.37;-2.49;-0.59;-0.07;0.67;-0.08
17.54;10.77;212.57;-9.08;-5.8;-0.27;0.16;2.55;193.88;-2.47;-0.61;-0.07;0.64;-0.08
17.46;10.76;212.59;-9.06;-5.79;-0.27;0.13;2.53;194.36;-2.45;-0.63;-0.07;0.61;-0.07
17.39;10.74;212.59;-9.05;-5.78;-0.27;0.1;2.52;194.82;-2.43;-0.64;-0.07;0.58;-0.07
17.31;10.72;212.59;-9.03;-5.77;-0.27;0.07;2.5;195.24;-2.41;-0.66;-0.07;0.56;-0.07
17.24;10.69;212.58;-9.01;-5.76;-0.27;0.04;2.49;195.64;-2.39;-0.67;-0.07;0.53;-0.06
17.17;10.67;212.56;-8.99;-5.74;-0.27;0.01;2.47;196.01;-2.38;-0.68;-0.07;0.51;-0.06
17.1;10.64;212.53;-8.97;-5.72;-0.27;-0.02;2.45;196.34;-2.35;-0.69;-0.07;0.48;-0.06
17.03;10.62;212.5;-8.95;-5.7;-0.27;-0.05;2.44;196.65;-2.33;-0.7;-0.07;0.46;-0.05
16.96;10.59;212.45;-8.93;-5.68;-0.27;-0.08;2.42;196.93;-2.31;-0.7;-0.07;0.44;-0.05
16.9;10.56;212.4;-8.91;-5.66;-0.27;-0.12;2.4;197.18;-2.29;-0.71;-0.07;0.43;-0.04
16.83;10.53;212.34;-8.9;-5.63;-0.27;-0.15;2.38;197.4;-2.27;-0.71;-0.07;0.42;-0.04
16.77;10.5;212.26;-8.88;-5.6;-0.26;-0.18;2.36;197.6;-2.25;-0.71;-0.06;0.41;-0.04
16.71;10.47;212.18;-8.86;-5.58;-0.26;-0.22;2.34;197.77;-2.22;-0.71;-0.06;0.4;-0.03
16.65;10.44;212.1;-8.84;-5.55;-0.26;-0.25;2.31;197.92;-2.2;-0.71;-0.06;0.4;-0.03
16.6;10.41;212;-8.83;-5.51;-0.26;-0.28;2.29;198.05;-2.17;-0.71;-0.06;0.4;-0.03
16.54;10.37;211.89;-8.81;-5.48;-0.26;-0.32;2.26;198.15;-2.15;-0.7;-0.06;0.4;-0.02
16.49;10.34;211.78;-8.79;-5.45;-0.26;-0.35;2.23;198.24;-2.12;-0.7;-0.06;0.41;-0.02
16.44;10.31;211.65;-8.78;-5.41;-0.26;-0.39;2.19;198.3;-2.08;-0.69;-0.06;0.43;-0.02
16.39;10.28;211.52;-8.76;-5.37;-0.26;-0.42;2.16;198.35;-2.05;-0.68;-0.06;0.44;-0.01
16.34;10.25;211.38;-8.75;-5.34;-0.26;-0.45;2.12;198.39;-2.01;-0.67;-0.06;0.46;-0.01
16.29;10.21;211.23;-8.73;-5.3;-0.26;-0.48;2.08;198.41;-1.97;-0.66;-0.06;0.49;-0.01
16.25;10.18;211.06;-8.72;-5.25;-0.26;-0.51;2.04;198.43;-1.93;-0.64;-0.06;0.51;0
16.21;10.15;210.9;-8.71;-5.21;-0.26;-0.55;1.99;198.43;-1.89;-0.63;-0.05;0.54;0
16.17;10.11;210.72;-8.7;-5.17;-0.26;-0.58;1.94;198.42;-1.84;-0.61;-0.05;0.58;0
16.13;10.08;210.53;-8.68;-5.12;-0.25;-0.61;1.89;198.41;-1.79;-0.6;-0.05;0.61;0.01
16.09;10.05;210.33;-8.67;-5.07;-0.25;-0.63;1.83;198.39;-1.74;-0.58;-0.05;0.65;0.01
16.05;10.01;210.13;-8.66;-5.03;-0.25;-0.66;1.77;198.38;-1.68;-0.56;-0.05;0.69;0.01
16.02;9.98;209.91;-8.65;-4.97;-0.25;-0.69;1.7;198.35;-1.62;-0.54;-0.05;0.74;0.02
15.99;9.94;209.69;-8.64;-4.92;-0.25;-0.71;1.63;198.33;-1.55;-0.51;-0.04;0.78;0.02
15.96;9.9;209.45;-8.62;-4.87;-0.25;-0.74;1.56;198.32;-1.48;-0.49;-0.04;0.82;0.02
15.93;9.87;209.21;-8.61;-4.81;-0.25;-0.76;1.49;198.3;-1.41;-0.47;-0.04;0.87;0.02
15.9;9.83;208.96;-8.6;-4.76;-0.25;-0.78;1.41;198.29;-1.33;-0.44;-0.04;0.91;0.03
15.88;9.79;208.7;-8.59;-4.7;-0.25;-0.8;1.32;198.29;-1.26;-0.42;-0.04;0.96;0.03
15.86;9.75;208.43;-8.57;-4.64;-0.25;-0.82;1.24;198.3;-1.17;-0.39;-0.03;1;0.03
15.83;9.71;208.15;-8.56;-4.58;-0.24;-0.83;1.14;198.33;-1.09;-0.36;-0.03;1.05;0.03
15.81;9.67;207.86;-8.55;-4.52;-0.24;-0.84;1.05;198.38;-1;-0.33;-0.03;1.09;0.04
15.8;9.62;207.56;-8.53;-4.45;-0.24;-0.85;0.95;198.45;-0.9;-0.3;-0.03;1.12;0.04
15.78;9.58;207.26;-8.52;-4.39;-0.24;-0.86;0.85;198.56;-0.81;-0.27;-0.02;1.16;0.04
15.76;9.53;206.95;-8.5;-4.32;-0.24;-0.86;0.75;198.73;-0.71;-0.24;-0.02;1.19;0.04
15.75;9.49;206.64;-8.48;-4.25;-0.24;-0.86;0.65;198.96;-0.61;-0.21;-0.02;1.21;0.04
15.74;9.44;206.31;-8.46;-4.19;-0.24;-0.86;0.54;199.32;-0.51;-0.18;-0.01;1.23;0.04
15.73;9.39;205.99;-8.44;-4.12;-0.24;-0.86;0.43;199.89;-0.41;-0.15;-0.01;1.25;0.05
15.72;9.34;205.65;-8.42;-4.04;-0.24;-0.85;0.32;200.86;-0.3;-0.12;-0.01;1.26;0.05
15.72;9.29;205.32;-8.4;-3.97;-0.23;-0.84;0.21;202.86;-0.2;-0.08;-0.01;1.26;0.05
15.71;9.24;204.98;-8.38;-3.9;-0.23;-0.83;0.11;209.02;-0.09;-0.05;0;1.26;0.05
15.71;9.19;204.63;-8.35;-3.83;-0.23;-0.81;0.02;301.7;0.01;-0.02;0;1.24;0.05
15.71;9.14;204.29;-8.33;-3.76;-0.23;-0.79;0.12;5.946;0.12;0.01;0;1.22;0.05
15.72;9.09;203.94;-8.3;-3.69;-0.23;-0.77;0.22;11.233;0.22;0.04;-0.01;1.2;0.05
15.72;9.03;203.6;-8.28;-3.62;-0.23;-0.74;0.33;13.105;0.32;0.07;-0.01;1.16;0.05
15.73;8.98;203.26;-8.25;-3.55;-0.23;-0.71;0.43;14.08;0.42;0.1;-0.01;1.12;0.06
15.74;8.93;202.92;-8.22;-3.48;-0.23;-0.68;0.53;14.696;0.51;0.13;-0.01;1.07;0.06
15.75;8.87;202.58;-8.19;-3.41;-0.22;-0.65;0.62;15.137;0.6;0.16;-0.02;1.01;0.06
15.76;8.82;202.25;-8.16;-3.34;-0.22;-0.62;0.71;15.483;0.69;0.19;-0.02;0.94;0.06
15.78;8.77;201.93;-8.13;-3.27;-0.22;-0.59;0.8;15.776;0.77;0.22;-0.02;0.87;0.06
15.8;8.72;201.62;-8.1;-3.21;-0.22;-0.55;0.88;16.039;0.85;0.24;-0.02;0.78;0.06
15.82;8.67;201.31;-8.07;-3.15;-0.22;-0.51;0.95;16.288;0.92;0.27;-0.03;0.69;0.06
15.84;8.62;201.02;-8.05;-3.09;-0.22;-0.48;1.02;16.532;0.98;0.29;-0.03;0.6;0.06
15.87;8.57;200.74;-8.02;-3.04;-0.22;-0.44;1.08;16.779;1.03;0.31;-0.03;0.49;0.06
15.9;8.53;200.47;-7.99;-2.98;-0.22;-0.4;1.13;17.036;1.08;0.33;-0.03;0.38;0.06
15.93;8.49;200.22;-7.96;-2.93;-0.21;-0.36;1.18;17.308;1.12;0.35;-0.03;0.27;0.06
15.96;8.45;199.98;-7.94;-2.89;-0.21;-0.33;1.21;17.6;1.16;0.37;-0.03;0.15;0.06
16;8.41;199.76;-7.91;-2.84;-0.21;-0.29;1.24;17.918;1.18;0.38;-0.03;0.03;0.06
16.04;8.38;199.56;-7.89;-2.8;-0.21;-0.25;1.26;18.268;1.19;0.39;-0.03;-0.09;0.06
16.08;8.35;199.39;-7.87;-2.77;-0.21;-0.22;1.27;18.656;1.2;0.4;-0.03;-0.22;0.06
16.12;8.32;199.23;-7.86;-2.74;-0.21;-0.19;1.26;19.092;1.2;0.41;-0.03;-0.35;0.06
16.17;8.3;199.1;-7.84;-2.71;-0.21;-0.15;1.25;19.583;1.18;0.42;-0.03;-0.48;0.06
16.22;8.28;198.99;-7.83;-2.69;-0.21;-0.12;1.23;20.144;1.16;0.42;-0.03;-0.61;0.06
16.27;8.26;198.9;-7.82;-2.68;-0.21;-0.1;1.2;20.79;1.13;0.43;-0.03;-0.73;0.06
16.32;8.26;198.84;-7.81;-2.67;-0.21;-0.07;1.16;21.54;1.08;0.43;-0.03;-0.85;0.06
16.37;8.25;198.8;-7.81;-2.66;-0.21;-0.04;1.12;22.423;1.03;0.43;-0.03;-0.98;0.06
16.43;8.25;198.79;-7.81;-2.66;-0.21;-0.02;1.06;23.476;0.97;0.42;-0.03;-1.09;0.06
16.48;8.26;198.8;-7.82;-2.66;-0.21;0;0.99;24.752;0.9;0.42;-0.03;-1.2;0.06
16.54;8.27;198.84;-7.83;-2.67;-0.21;0.02;0.92;26.327;0.82;0.41;-0.03;-1.31;0.06
16.6;8.28;198.9;-7.84;-2.68;-0.21;0.04;0.84;28.315;0.74;0.4;-0.02;-1.4;0.06
16.66;8.31;198.99;-7.85;-2.7;-0.21;0.05;0.75;30.894;0.65;0.39;-0.02;-1.49;0.06
16.72;8.33;199.09;-7.87;-2.73;-0.21;0.07;0.66;34.355;0.54;0.37;-0.02;-1.58;0.06
16.78;8.36;199.22;-7.9;-2.75;-0.21;0.08;0.56;39.194;0.44;0.36;-0.02;-1.65;0.06
16.84;8.4;199.37;-7.93;-2.79;-0.21;0.1;0.47;46.302;0.32;0.34;-0.01;-1.71;0.06
16.91;8.45;199.54;-7.96;-2.82;-0.21;0.11;0.38;57.275;0.21;0.32;-0.01;-1.77;0.06
16.97;8.49;199.73;-7.99;-2.87;-0.21;0.12;0.31;74.517;0.08;0.3;-0.01;-1.81;0.06
17.03;8.55;199.93;-8.03;-2.91;-0.22;0.13;0.28;98.844;-0.04;0.28;-0.01;-1.84;0.06
17.09;8.6;200.14;-8.08;-2.96;-0.22;0.14;0.31;124.03;-0.17;0.26;-0.01;-1.87;0.06
17.15;8.66;200.37;-8.12;-3.02;-0.22;0.15;0.38;142.67;-0.31;0.23;-0.01;-1.88;0.05
17.21;8.73;200.61;-8.17;-3.07;-0.22;0.16;0.49;154.61;-0.44;0.21;-0.01;-1.87;0.05
17.27;8.8;200.86;-8.22;-3.13;-0.22;0.17;0.6;162.29;-0.57;0.18;-0.02;-1.86;0.05
17.33;8.87;201.12;-8.27;-3.19;-0.22;0.19;0.72;167.48;-0.71;0.16;-0.02;-1.84;0.05
17.38;8.94;201.38;-8.32;-3.26;-0.23;0.2;0.85;171.15;-0.84;0.13;-0.02;-1.8;0.05
17.44;9.02;201.64;-8.38;-3.33;-0.23;0.21;0.98;173.87;-0.97;0.1;-0.03;-1.76;0.04
17.49;9.09;201.91;-8.43;-3.39;-0.23;0.23;1.1;175.96;-1.1;0.08;-0.03;-1.7;0.04
17.54;9.17;202.18;-8.49;-3.46;-0.23;0.25;1.23;177.61;-1.22;0.05;-0.03;-1.63;0.04
17.58;9.25;202.45;-8.54;-3.53;-0.23;0.27;1.35;178.95;-1.35;0.02;-0.04;-1.55;0.04
17.63;9.32;202.71;-8.6;-3.6;-0.24;0.29;1.46;180.05;-1.46;0;-0.04;-1.46;0.03
17.67;9.4;202.98;-8.65;-3.67;-0.24;0.31;1.57;180.97;-1.57;-0.03;-0.04;-1.36;0.03
17.71;9.47;203.23;-8.7;-3.73;-0.24;0.33;1.68;181.75;-1.68;-0.05;-0.05;-1.26;0.03
17.74;9.53;203.49;-8.75;-3.8;-0.24;0.36;1.77;182.43;-1.77;-0.08;-0.05;-1.14;0.02
17.77;9.6;203.73;-8.79;-3.86;-0.24;0.39;1.86;183.02;-1.86;-0.1;-0.05;-1.02;0.02
17.8;9.66;203.97;-8.83;-3.92;-0.24;0.42;1.95;183.53;-1.94;-0.12;-0.05;-0.89;0.02
17.83;9.71;204.2;-8.86;-3.98;-0.24;0.45;2.02;183.99;-2.01;-0.14;-0.06;-0.75;0.01
17.85;9.76;204.42;-8.89;-4.03;-0.25;0.49;2.08;184.4;-2.08;-0.16;-0.06;-0.61;0.01
17.87;9.8;204.63;-8.91;-4.08;-0.25;0.53;2.14;184.77;-2.13;-0.18;-0.06;-0.46;0.01
17.88;9.83;204.83;-8.92;-4.13;-0.25;0.57;2.18;185.11;-2.17;-0.19;-0.06;-0.31;0
17.89;9.85;205.02;-8.93;-4.17;-0.25;0.61;2.22;185.42;-2.21;-0.21;-0.06;-0.16;0
17.9;9.86;205.2;-8.92;-4.2;-0.25;0.65;2.24;185.7;-2.23;-0.22;-0.06;0;-0.01
17.9;9.86;205.37;-8.91;-4.23;-0.25;0.7;2.25;185.97;-2.24;-0.23;-0.06;0.16;-0.01
17.9;9.85;205.53;-8.89;-4.25;-0.25;0.74;2.26;186.22;-2.24;-0.24;-0.06;0.32;-0.02
17.9;9.83;205.67;-8.86;-4.26;-0.25;0.79;2.25;186.46;-2.23;-0.25;-0.06;0.48;-0.02
17.89;9.8;205.8;-8.82;-4.26;-0.25;0.84;2.23;186.69;-2.21;-0.26;-0.06;0.64;-0.03
17.88;9.75;205.92;-8.77;-4.26;-0.25;0.89;2.19;186.92;-2.18;-0.26;-0.06;0.8;-0.03
17.87;9.69;206.02;-8.7;-4.25;-0.24;0.95;2.15;187.14;-2.14;-0.27;-0.06;0.96;-0.03
17.85;9.61;206.11;-8.63;-4.23;-0.24;1;2.1;187.36;-2.08;-0.27;-0.06;1.11;-0.04
17.83;9.52;206.18;-8.54;-4.2;-0.24;1.06;2.04;187.59;-2.02;-0.27;-0.06;1.26;-0.04
17.81;9.41;206.24;-8.44;-4.16;-0.24;1.11;1.96;187.83;-1.94;-0.27;-0.05;1.4;-0.05
17.79;9.29;206.29;-8.33;-4.12;-0.23;1.16;1.88;188.09;-1.86;-0.26;-0.05;1.54;-0.05
17.76;9.16;206.32;-8.21;-4.06;-0.23;1.22;1.78;188.37;-1.76;-0.26;-0.05;1.68;-0.06
17.73;9.01;206.33;-8.07;-4;-0.23;1.27;1.68;188.68;-1.66;-0.25;-0.05;1.8;-0.06
17.7;8.84;206.32;-7.93;-3.92;-0.22;1.33;1.57;189.03;-1.55;-0.25;-0.04;1.92;-0.07
17.66;8.66;206.3;-7.77;-3.84;-0.22;1.38;1.45;189.44;-1.43;-0.24;-0.04;2.03;-0.07
17.63;8.47;206.26;-7.59;-3.75;-0.21;1.43;1.32;189.94;-1.3;-0.23;-0.04;2.14;-0.08
17.59;8.26;206.2;-7.41;-3.65;-0.21;1.48;1.19;190.55;-1.17;-0.22;-0.03;2.23;-0.08
17.55;8.04;206.11;-7.22;-3.54;-0.2;1.52;1.05;191.35;-1.02;-0.21;-0.03;2.31;-0.08
17.52;7.8;206.01;-7.01;-3.42;-0.2;1.57;0.9;192.41;-0.88;-0.19;-0.02;2.39;-0.09
17.48;7.55;205.88;-6.8;-3.3;-0.19;1.61;0.75;193.93;-0.73;-0.18;-0.02;2.45;-0.09
17.44;7.29;205.72;-6.57;-3.16;-0.18;1.64;0.59;196.27;-0.57;-0.17;-0.02;2.5;-0.09
17.4;7.02;205.53;-6.34;-3.03;-0.18;1.68;0.44;200.32;-0.41;-0.15;-0.01;2.54;-0.1
17.36;6.74;205.31;-6.1;-2.88;-0.17;1.7;0.29;208.9;-0.25;-0.14;-0.01;2.56;-0.1
17.32;6.45;205.05;-5.85;-2.73;-0.16;1.73;0.15;234.96;-0.09;-0.12;0;2.58;-0.1
17.28;6.16;204.75;-5.59;-2.58;-0.16;1.75;0.13;305.82;0.08;-0.11;0;2.58;-0.1
17.24;5.85;204.4;-5.33;-2.42;-0.15;1.76;0.26;338.99;0.24;-0.09;-0.01;2.57;-0.1
17.2;5.55;204.01;-5.07;-2.26;-0.14;1.77;0.41;349.11;0.41;-0.08;-0.01;2.55;-0.11
